distance_km,hour,day_of_week,area_type,historical_speed,eta_minutes
2.56,1,Tuesday,commercial,15.67,11.76
13.35,19,Monday,residential,19.73,60.9
17.03,11,Sunday,residential,39.72,25.73
16.84,8,Thursday,residential,22.13,68.49
14.95,6,Sunday,commercial,25.7,41.88
18.56,22,Thursday,commercial,34.67,38.54
13.52,9,Sunday,commercial,15.48,89.09
18.61,21,Wednesday,commercial,25.34,52.88
1.8,23,Wednesday,commercial,32.62,3.97
24.57,8,Wednesday,residential,35.88,61.63
6.58,20,Monday,residential,30.67,12.87
6.28,0,Tuesday,residential,38.92,9.68
10.77,19,Friday,residential,28.3,34.25
22.26,19,Monday,commercial,36.73,61.82
15.75,14,Tuesday,residential,21.25,44.47
18.34,23,Saturday,commercial,23.26,56.77
17.38,23,Sunday,commercial,26.21,47.74
8.9,7,Friday,commercial,19.08,33.58
11.04,9,Monday,residential,24.0,41.4
9.53,3,Friday,commercial,22.55,30.43
10.72,16,Tuesday,commercial,15.93,48.45
7.85,9,Friday,commercial,23.79,33.66
18.57,4,Monday,residential,36.44,30.58
9.64,19,Friday,residential,36.28,23.91
24.43,7,Tuesday,commercial,31.1,56.56
18.71,10,Saturday,commercial,19.7,96.87
13.54,2,Tuesday,residential,21.05,38.59
24.26,7,Wednesday,residential,36.54,39.84
20.97,2,Monday,residential,31.29,40.21
24.26,0,Saturday,commercial,33.54,52.08
15.56,13,Friday,commercial,17.84,62.8
4.58,17,Saturday,commercial,35.65,13.1
11.38,9,Sunday,commercial,19.71,58.89
16.4,10,Friday,residential,18.95,77.89
22.1,12,Monday,residential,17.46,75.95
22.59,17,Sunday,commercial,35.48,64.94
5.93,17,Monday,commercial,19.84,30.49
23.06,8,Tuesday,commercial,17.03,138.12
2.32,13,Tuesday,commercial,17.46,9.57
21.54,12,Tuesday,residential,17.21,75.1
16.1,4,Sunday,residential,25.89,37.31
16.4,2,Sunday,commercial,27.76,42.54
13.05,7,Thursday,residential,37.61,20.82
17.72,19,Wednesday,commercial,20.65,87.53
24.09,23,Wednesday,commercial,21.76,79.71
19.45,7,Wednesday,commercial,31.9,43.9
7.91,21,Friday,commercial,16.21,35.13
4.15,23,Tuesday,commercial,37.42,7.99
19.92,5,Saturday,residential,19.81,60.33
20.54,12,Thursday,commercial,37.86,39.06
7.52,9,Sunday,residential,17.41,38.87
13.79,0,Monday,residential,37.91,21.83
4.99,0,Tuesday,commercial,34.9,10.29
14.74,4,Wednesday,residential,15.0,58.96
14.05,11,Tuesday,residential,20.58,40.96
17.34,17,Thursday,commercial,37.5,47.16
10.52,14,Tuesday,commercial,17.45,43.41
14.6,16,Monday,commercial,27.56,38.14
6.51,2,Wednesday,commercial,28.97,16.18
6.26,4,Tuesday,commercial,35.74,12.61
5.41,4,Monday,residential,38.98,8.33
11.74,6,Wednesday,residential,15.42,45.68
5.44,9,Friday,commercial,31.33,17.71
23.56,5,Friday,residential,36.87,38.34
18.79,14,Saturday,residential,34.04,33.12
2.78,17,Sunday,commercial,33.5,8.46
20.93,5,Wednesday,residential,27.94,44.95
21.64,18,Wednesday,commercial,32.94,67.01
5.21,3,Sunday,residential,32.49,9.62
15.54,21,Sunday,commercial,35.99,31.09
14.55,23,Tuesday,residential,21.57,40.47
4.52,16,Saturday,commercial,25.29,12.87
22.16,9,Friday,commercial,33.78,66.91
24.98,11,Sunday,commercial,33.84,53.15
3.74,1,Monday,commercial,34.95,7.7
3.25,1,Thursday,commercial,21.34,10.97
14.59,7,Thursday,residential,31.2,28.06
1.42,17,Sunday,commercial,30.09,4.81
14.86,2,Thursday,commercial,28.86,37.07
4.45,3,Friday,residential,23.7,11.27
20.49,10,Saturday,commercial,24.91,83.9
13.0,21,Friday,residential,16.83,46.35
17.51,18,Sunday,commercial,22.42,79.66
9.32,14,Sunday,residential,21.01,26.62
7.23,12,Saturday,commercial,22.88,22.75
16.56,21,Saturday,commercial,34.39,34.67
17.25,4,Monday,residential,25.93,39.92
13.84,22,Saturday,commercial,16.56,60.17
4.41,23,Wednesday,commercial,35.74,8.88
3.59,23,Tuesday,commercial,32.3,8.0
2.93,15,Thursday,commercial,20.01,10.54
14.76,20,Saturday,commercial,30.92,34.37
3.64,6,Thursday,residential,25.5,8.56
4.53,17,Tuesday,commercial,31.12,14.85
16.79,18,Monday,commercial,20.81,82.3
9.26,21,Tuesday,residential,27.5,20.2
9.24,7,Tuesday,residential,39.63,13.99
3.42,11,Sunday,commercial,37.68,6.54
18.58,16,Saturday,commercial,36.25,36.9
24.31,4,Sunday,residential,22.18,65.76
4.97,12,Sunday,residential,37.86,7.88
12.85,19,Monday,commercial,32.6,40.21
14.47,17,Monday,residential,21.7,60.01
5.56,10,Thursday,residential,27.66,18.09
10.71,10,Tuesday,residential,33.27,28.97
12.76,19,Sunday,residential,31.96,35.93
17.59,12,Tuesday,residential,16.31,64.71
3.57,14,Thursday,commercial,23.32,11.02
16.43,13,Friday,commercial,25.63,46.16
1.49,6,Thursday,residential,31.2,2.87
14.8,15,Monday,commercial,21.24,50.17
21.17,20,Monday,residential,20.64,61.54
15.72,0,Friday,residential,31.95,29.52
14.19,21,Wednesday,residential,31.09,27.39
17.62,10,Sunday,residential,36.23,43.77
21.42,10,Saturday,commercial,29.56,73.91
21.3,4,Tuesday,commercial,23.47,65.34
1.56,13,Monday,residential,16.6,5.64
10.18,7,Thursday,commercial,36.14,20.28
19.7,1,Wednesday,commercial,30.2,46.97
5.39,12,Monday,commercial,39.81,9.75
16.47,7,Friday,residential,29.35,33.67
2.21,21,Sunday,commercial,22.65,7.03
18.11,10,Monday,residential,24.36,66.91
22.44,9,Wednesday,residential,18.06,111.83
19.52,11,Friday,residential,18.33,63.9
11.38,20,Wednesday,residential,19.54,34.94
6.55,15,Friday,commercial,16.71,28.22
7.19,22,Tuesday,commercial,35.71,14.5
19.91,2,Thursday,commercial,21.11,67.91
22.36,11,Thursday,residential,21.68,61.88
18.53,23,Saturday,residential,15.11,73.58
17.42,1,Saturday,commercial,15.62,80.3
21.3,4,Friday,residential,22.88,55.86
11.01,22,Saturday,residential,23.01,28.71
22.16,0,Saturday,commercial,36.14,44.15
1.75,1,Wednesday,commercial,21.08,5.98
18.2,15,Thursday,commercial,33.87,38.69
12.54,1,Wednesday,commercial,32.83,27.5
3.03,15,Monday,commercial,28.02,7.79
13.43,16,Friday,commercial,34.77,27.81
15.43,13,Thursday,residential,31.08,29.79
9.7,22,Monday,residential,39.19,14.85
11.89,15,Saturday,commercial,15.96,53.64
1.01,5,Friday,commercial,37.53,1.94
14.3,6,Saturday,commercial,21.85,47.12
10.0,14,Friday,residential,30.32,19.79
17.41,1,Tuesday,residential,37.22,28.07
5.24,10,Sunday,residential,25.99,18.15
17.15,4,Wednesday,commercial,39.35,31.38
6.06,8,Thursday,residential,17.85,30.55
21.33,11,Friday,commercial,27.55,55.74
17.34,3,Friday,residential,34.94,29.78
2.7,17,Tuesday,commercial,34.69,7.94
3.73,17,Wednesday,residential,23.94,14.02
19.98,5,Monday,residential,26.96,44.47
10.67,18,Monday,residential,16.48,58.27
18.41,3,Monday,commercial,15.46,85.74
18.22,20,Wednesday,commercial,33.57,39.08
4.7,2,Thursday,residential,22.56,12.5
8.99,21,Thursday,commercial,21.89,29.57
3.4,3,Sunday,commercial,37.63,6.51
6.0,22,Thursday,commercial,16.12,26.8
3.13,20,Friday,residential,35.31,5.32
6.38,9,Saturday,commercial,25.85,25.17
6.47,1,Wednesday,commercial,33.93,13.73
9.76,6,Tuesday,commercial,35.55,19.77
12.72,4,Monday,commercial,34.55,26.51
16.72,12,Wednesday,residential,15.21,65.96
22.38,19,Sunday,commercial,28.56,79.93
24.96,9,Wednesday,residential,38.46,58.41
24.43,5,Thursday,residential,38.82,37.76
21.45,18,Thursday,commercial,16.79,130.31
5.15,20,Sunday,residential,35.13,8.8
4.89,23,Saturday,residential,37.12,7.9
6.64,20,Thursday,commercial,28.28,16.91
6.36,2,Wednesday,commercial,39.14,11.7
7.5,19,Thursday,commercial,28.4,26.94
19.62,18,Friday,commercial,27.65,72.38
23.85,17,Friday,commercial,26.33,92.39
13.97,0,Wednesday,residential,21.46,39.06
18.01,1,Wednesday,commercial,30.92,41.94
1.38,10,Wednesday,commercial,23.59,5.97
14.49,19,Thursday,residential,27.78,46.94
5.2,12,Tuesday,residential,39.41,7.92
24.79,11,Friday,commercial,15.04,118.68
11.1,7,Saturday,residential,26.69,24.95
7.74,13,Tuesday,residential,23.35,19.89
6.68,7,Thursday,residential,32.96,12.16
9.98,21,Thursday,residential,28.92,20.71
2.77,0,Thursday,commercial,25.37,7.86
22.08,0,Sunday,commercial,28.12,56.53
15.78,3,Thursday,residential,18.82,50.31
5.77,15,Wednesday,commercial,28.16,14.75
9.05,17,Saturday,commercial,29.91,30.86
1.84,14,Tuesday,commercial,18.17,7.29
1.24,18,Tuesday,residential,29.35,3.8
6.36,7,Wednesday,commercial,27.31,16.77
22.77,0,Monday,commercial,39.31,41.71
4.24,11,Tuesday,residential,26.71,9.52
4.52,11,Wednesday,commercial,37.86,8.6
10.17,16,Friday,commercial,38.93,18.81
18.82,4,Saturday,residential,39.47,28.61
17.51,14,Thursday,commercial,16.89,74.64
19.42,8,Monday,commercial,27.3,72.56
15.09,14,Monday,commercial,15.87,68.46
4.32,8,Friday,commercial,37.81,11.65
23.56,21,Saturday,commercial,37.91,44.75
21.45,2,Sunday,commercial,17.54,88.05
17.87,9,Wednesday,residential,18.39,87.46
4.3,13,Monday,commercial,25.15,12.31
14.43,7,Sunday,residential,30.6,28.29
3.85,15,Tuesday,residential,28.02,8.24
17.37,2,Tuesday,commercial,37.42,33.42
2.02,3,Thursday,residential,30.81,3.93
24.43,13,Monday,residential,21.37,68.59
14.54,15,Friday,residential,23.49,37.14
19.99,6,Sunday,commercial,24.65,58.39
12.32,17,Thursday,commercial,17.63,71.28
21.7,19,Saturday,residential,16.36,119.38
1.43,10,Tuesday,commercial,23.9,6.1
9.04,8,Monday,residential,33.34,24.4
11.41,20,Sunday,residential,27.29,25.09
9.05,23,Thursday,commercial,15.27,42.67
23.26,2,Sunday,commercial,39.95,41.92
13.73,14,Saturday,residential,20.49,40.2
23.24,17,Friday,commercial,27.15,87.31
20.48,18,Thursday,residential,19.53,94.38
24.44,7,Wednesday,residential,31.26,46.91
15.9,15,Sunday,residential,24.87,38.36
2.81,9,Sunday,commercial,35.81,8.0
24.37,15,Wednesday,commercial,38.95,45.05
19.17,5,Saturday,commercial,16.95,81.43
9.1,3,Tuesday,residential,34.75,15.71
4.8,1,Thursday,commercial,18.85,18.33
19.31,0,Sunday,residential,31.1,37.25
10.41,2,Tuesday,residential,19.83,31.5
18.38,5,Wednesday,commercial,36.28,36.48
4.26,15,Saturday,commercial,22.8,13.45
12.71,23,Wednesday,commercial,39.09,23.41
9.31,3,Wednesday,commercial,22.58,29.69
17.4,7,Thursday,residential,33.06,31.58
4.98,1,Friday,commercial,34.28,10.46
9.1,8,Thursday,residential,31.17,26.28
17.13,2,Saturday,residential,20.63,49.82
2.93,21,Saturday,commercial,24.49,8.61
18.78,9,Thursday,commercial,28.56,67.07
10.78,21,Tuesday,residential,27.59,23.44
4.39,23,Saturday,residential,27.73,9.5
23.25,3,Monday,commercial,16.23,103.14
9.1,3,Sunday,commercial,19.77,33.14
15.02,9,Tuesday,commercial,36.76,41.68
1.25,8,Wednesday,residential,38.26,2.94
19.92,10,Monday,residential,33.33,53.79
3.17,2,Thursday,commercial,24.22,9.42
23.7,9,Friday,commercial,20.98,115.22
3.77,10,Sunday,commercial,15.09,25.48
3.39,15,Saturday,commercial,23.04,10.59
13.88,8,Monday,residential,32.21,38.78
22.5,9,Monday,residential,15.65,129.39
17.94,4,Thursday,commercial,24.82,52.04
24.87,10,Friday,commercial,24.75,102.49
21.11,5,Saturday,commercial,33.73,45.06
22.0,4,Tuesday,commercial,17.99,88.05
14.95,10,Sunday,residential,20.88,64.44
20.39,17,Thursday,residential,31.24,58.74
15.23,8,Tuesday,residential,22.0,62.3
15.54,11,Thursday,residential,25.46,36.62
2.82,6,Wednesday,commercial,36.02,5.64
16.31,9,Thursday,residential,15.79,92.96
14.73,10,Sunday,residential,19.61,67.6
11.02,2,Saturday,residential,33.81,19.56
4.39,9,Wednesday,residential,25.78,15.33
4.08,13,Wednesday,commercial,17.57,16.72
15.0,18,Tuesday,commercial,21.26,71.97
4.88,4,Tuesday,commercial,19.79,17.75
6.7,11,Sunday,commercial,22.24,21.69
24.15,9,Monday,residential,26.44,82.2
6.16,10,Friday,residential,31.49,17.61
3.15,5,Monday,commercial,36.56,6.2
1.07,3,Thursday,commercial,17.94,4.29
3.9,21,Monday,residential,17.16,13.64
1.14,8,Thursday,residential,31.3,3.28
24.18,10,Saturday,residential,32.08,67.84
13.37,3,Monday,residential,18.45,43.48
12.45,10,Tuesday,commercial,17.04,74.52
20.09,13,Tuesday,commercial,39.47,36.65
11.06,18,Saturday,residential,30.77,32.35
12.43,21,Thursday,commercial,29.2,30.65
18.03,5,Wednesday,residential,31.6,34.23
5.75,1,Saturday,residential,34.69,9.95
12.94,20,Wednesday,residential,25.31,30.68
23.84,23,Friday,residential,39.75,35.98
19.07,1,Friday,commercial,25.03,54.86
20.38,22,Monday,commercial,24.98,58.74
14.15,21,Tuesday,residential,23.05,36.83
21.92,23,Wednesday,residential,24.75,53.14
23.87,20,Sunday,residential,19.91,71.93
16.72,4,Monday,commercial,26.63,45.21
21.36,8,Friday,commercial,39.09,55.74
16.28,3,Thursday,commercial,20.8,56.35
9.43,2,Wednesday,residential,32.25,17.54
11.81,8,Wednesday,residential,17.82,59.65
8.58,1,Saturday,commercial,22.55,27.4
20.87,16,Friday,commercial,32.94,45.62
4.98,19,Friday,commercial,24.21,20.98
19.61,8,Saturday,commercial,16.02,124.86
10.79,4,Friday,commercial,22.63,34.33
20.78,8,Friday,commercial,34.09,62.18
12.24,3,Tuesday,commercial,22.45,39.26
5.19,21,Thursday,commercial,18.05,20.7
16.82,14,Wednesday,residential,20.42,49.42
2.7,6,Monday,commercial,32.2,6.04
12.45,16,Sunday,residential,31.48,23.73
3.58,8,Monday,commercial,39.53,9.24
17.0,14,Sunday,commercial,29.47,41.53
6.35,4,Saturday,commercial,24.93,18.34
6.44,18,Friday,commercial,25.41,25.85
19.49,10,Friday,residential,28.92,60.65
8.15,23,Tuesday,residential,31.36,15.59
14.84,19,Friday,commercial,27.66,54.72
9.62,13,Monday,residential,27.29,21.15
16.9,18,Friday,residential,39.98,38.04
21.91,2,Monday,commercial,26.03,60.6
17.3,16,Wednesday,commercial,19.95,62.44
12.3,10,Wednesday,residential,16.35,67.71
22.36,0,Friday,commercial,36.71,43.86
19.13,21,Monday,commercial,29.16,47.23
11.86,11,Thursday,commercial,22.71,37.6
18.73,12,Monday,commercial,34.75,38.81
16.76,13,Tuesday,commercial,30.89,39.07
4.06,12,Saturday,commercial,21.04,13.89
8.42,15,Monday,residential,33.61,15.03
12.56,10,Wednesday,residential,19.86,56.92
24.02,5,Tuesday,residential,24.24,59.46
19.14,18,Friday,residential,37.4,46.06
21.56,4,Wednesday,residential,25.84,50.06
12.96,14,Tuesday,residential,37.06,20.98
7.31,2,Sunday,commercial,25.97,20.27
23.12,21,Friday,residential,26.18,52.99
16.93,4,Thursday,commercial,31.26,38.99
8.11,23,Monday,residential,23.93,20.33
24.13,11,Sunday,commercial,39.76,43.7
15.03,2,Wednesday,commercial,18.9,57.26
22.73,4,Thursday,commercial,26.12,62.66
6.97,7,Monday,commercial,16.46,30.49
15.45,8,Thursday,commercial,33.51,47.03
16.62,0,Tuesday,residential,32.57,30.62
18.28,15,Sunday,commercial,38.7,34.01
19.39,9,Wednesday,commercial,27.61,71.63
22.69,20,Monday,residential,17.32,78.6
23.76,10,Thursday,residential,17.98,118.93
18.58,22,Wednesday,residential,27.94,39.9
11.45,11,Friday,residential,39.28,17.49
18.12,9,Thursday,residential,21.25,76.74
19.88,9,Wednesday,commercial,30.05,67.48
10.9,18,Monday,residential,32.54,30.15
12.93,10,Sunday,commercial,25.81,51.1
18.25,10,Monday,residential,21.02,78.14
14.53,19,Monday,residential,34.06,38.39
23.32,9,Friday,residential,21.54,97.44
12.17,1,Tuesday,commercial,30.79,28.46
6.58,15,Wednesday,commercial,26.81,17.67
11.49,22,Friday,residential,19.85,34.73
13.76,23,Sunday,commercial,23.44,42.27
14.95,6,Saturday,commercial,36.54,29.46
21.33,15,Sunday,residential,28.59,44.76
23.23,15,Saturday,residential,29.52,47.22
20.32,8,Tuesday,residential,21.81,83.85
18.45,10,Monday,commercial,35.45,53.09
18.74,12,Monday,commercial,19.25,70.09
24.0,17,Thursday,commercial,36.24,67.55
22.58,6,Sunday,residential,24.7,54.85
7.16,10,Wednesday,residential,30.45,21.16
13.42,11,Wednesday,residential,35.44,22.72
23.44,1,Saturday,commercial,31.36,53.82
15.49,21,Monday,commercial,36.64,30.44
18.31,10,Friday,commercial,16.48,113.33
19.78,16,Friday,commercial,30.37,46.89
17.03,7,Friday,residential,39.12,26.12
17.11,15,Thursday,commercial,26.37,46.72
22.78,15,Saturday,residential,21.4,63.87
8.76,15,Tuesday,commercial,20.01,31.52
22.09,17,Thursday,residential,25.64,77.54
18.35,20,Thursday,residential,33.02,33.34
7.25,17,Thursday,commercial,27.78,26.62
23.29,5,Saturday,commercial,19.58,85.64
12.74,8,Monday,residential,33.19,34.55
1.33,23,Sunday,residential,23.9,3.34
16.53,12,Thursday,commercial,15.5,76.78
23.07,8,Thursday,commercial,38.22,61.57
20.54,0,Monday,residential,35.2,35.01
19.21,9,Saturday,residential,36.4,47.5
19.16,2,Saturday,commercial,22.65,60.91
8.98,1,Thursday,commercial,38.8,16.66
3.75,5,Friday,residential,22.66,9.93
9.5,7,Saturday,commercial,39.2,17.45
22.21,21,Sunday,commercial,36.08,44.32
19.9,13,Thursday,commercial,21.54,66.52
23.43,5,Wednesday,commercial,18.04,93.51
5.87,13,Thursday,residential,36.32,9.7
7.9,17,Thursday,commercial,17.44,46.2
18.68,2,Tuesday,residential,22.85,49.05
21.72,16,Saturday,commercial,29.91,52.28
22.25,23,Wednesday,residential,17.56,76.03
18.71,10,Saturday,commercial,18.23,104.69
8.02,0,Friday,residential,27.72,17.36
23.82,9,Thursday,commercial,39.03,62.25
7.92,21,Friday,residential,19.3,24.62
14.11,16,Sunday,commercial,38.59,26.33
2.36,1,Wednesday,commercial,22.68,7.49
13.85,4,Monday,commercial,36.57,27.27
9.24,0,Thursday,residential,25.29,21.92
1.47,14,Tuesday,residential,22.43,3.93
6.09,21,Thursday,residential,22.5,16.24
5.28,7,Saturday,commercial,38.17,9.96
8.62,22,Saturday,residential,32.42,15.95
22.08,22,Friday,residential,21.26,62.31
24.87,20,Saturday,residential,15.53,96.08
14.16,10,Monday,commercial,34.08,42.38
24.39,15,Saturday,commercial,24.03,73.08
24.39,19,Thursday,commercial,20.3,122.55
24.1,11,Tuesday,residential,23.38,61.85
24.06,4,Monday,residential,32.95,43.81
22.5,17,Wednesday,residential,33.31,60.79
19.96,11,Saturday,residential,30.49,39.28
16.77,21,Saturday,commercial,26.68,45.26
18.71,14,Friday,residential,25.46,44.09
22.75,8,Saturday,residential,27.34,74.89
2.91,13,Tuesday,commercial,23.4,8.95
20.9,22,Saturday,commercial,35.57,42.31
6.47,16,Thursday,residential,32.01,12.13
21.52,9,Friday,commercial,33.96,64.64
9.09,21,Saturday,residential,31.39,17.37
9.89,23,Thursday,commercial,37.37,19.05
20.41,23,Sunday,commercial,23.43,62.72
13.91,12,Monday,residential,34.43,24.24
2.47,21,Tuesday,commercial,17.11,10.39
19.75,21,Wednesday,commercial,25.78,55.16
6.39,0,Friday,commercial,21.24,21.66
22.28,23,Thursday,residential,26.82,49.84
2.22,5,Monday,residential,36.66,3.63
16.45,15,Friday,residential,30.83,32.01
8.14,10,Friday,residential,29.72,24.65
19.44,10,Friday,commercial,34.45,57.56
9.72,21,Wednesday,residential,28.17,20.7
7.54,5,Friday,commercial,20.95,25.91
3.39,10,Sunday,residential,33.94,8.99
16.55,5,Monday,commercial,20.68,57.62
17.58,20,Thursday,residential,15.93,66.21
21.09,23,Sunday,commercial,21.89,69.37
20.05,20,Thursday,commercial,28.05,51.47
8.56,16,Tuesday,commercial,20.34,30.3
9.68,14,Monday,commercial,23.45,29.72
9.55,22,Friday,residential,20.48,27.98
5.08,8,Wednesday,residential,24.75,18.47
2.61,16,Friday,residential,27.59,5.68
20.6,16,Monday,commercial,31.89,46.51
19.02,17,Friday,commercial,20.18,96.14
18.4,19,Friday,residential,19.56,84.66
14.92,6,Tuesday,commercial,38.13,28.17
19.55,17,Monday,commercial,29.06,68.62
7.79,7,Monday,commercial,24.15,23.22
18.61,11,Monday,commercial,25.04,53.51
9.12,9,Tuesday,residential,30.97,26.5
24.44,9,Saturday,residential,39.99,55.0
9.83,16,Sunday,commercial,38.8,18.24
14.11,15,Saturday,residential,29.21,28.98
12.26,14,Tuesday,commercial,36.41,24.24
17.69,15,Thursday,residential,35.56,29.85
14.91,15,Wednesday,commercial,25.67,41.82
5.8,10,Thursday,residential,24.17,21.6
9.21,14,Sunday,commercial,37.62,17.63
10.73,19,Monday,commercial,31.54,34.7
5.98,12,Wednesday,commercial,38.57,11.16
3.25,18,Wednesday,residential,36.69,7.97
17.17,13,Sunday,commercial,29.6,41.76
6.84,16,Sunday,commercial,30.97,15.9
23.97,15,Monday,commercial,27.99,61.66
12.09,2,Sunday,commercial,35.33,24.64
21.24,19,Tuesday,commercial,38.2,56.71
17.15,3,Thursday,commercial,27.38,45.1
9.73,16,Sunday,residential,23.47,24.87
14.04,6,Tuesday,commercial,37.92,26.66
10.19,5,Wednesday,commercial,23.87,30.74
7.64,20,Monday,residential,28.92,15.85
24.57,1,Sunday,residential,26.72,55.17
20.16,5,Tuesday,commercial,38.38,37.82
10.48,23,Wednesday,residential,19.13,32.87
1.54,5,Wednesday,residential,36.39,2.54
13.7,14,Thursday,residential,22.28,36.89
7.51,9,Tuesday,commercial,36.56,20.95
11.01,18,Tuesday,residential,37.56,26.38
5.3,6,Sunday,commercial,24.65,15.48
18.99,16,Saturday,residential,31.08,36.66
12.51,0,Sunday,commercial,29.1,30.95
24.97,4,Thursday,residential,23.18,64.63
10.35,3,Tuesday,residential,17.78,34.93
14.41,14,Tuesday,residential,26.19,33.01
14.75,1,Saturday,commercial,17.6,60.34
22.48,11,Thursday,residential,27.28,49.44
17.14,13,Tuesday,residential,18.07,56.91
19.97,4,Thursday,commercial,24.79,58.0
2.5,4,Monday,commercial,35.84,5.02
6.56,10,Friday,commercial,21.91,30.54
3.11,18,Sunday,commercial,17.5,18.13
17.07,21,Friday,residential,38.53,26.58
8.68,9,Monday,commercial,20.91,42.34
7.05,7,Wednesday,residential,18.84,22.45
23.06,3,Monday,residential,25.39,54.49
16.76,13,Wednesday,residential,29.58,34.0
1.89,1,Tuesday,residential,27.72,4.09
22.88,16,Wednesday,commercial,16.3,101.07
11.8,2,Wednesday,residential,37.59,18.83
8.5,12,Wednesday,commercial,16.06,38.11
12.9,10,Tuesday,residential,19.72,58.87
23.92,12,Sunday,residential,24.83,57.8
3.53,19,Wednesday,commercial,37.54,9.59
24.69,1,Thursday,residential,18.15,81.62
7.15,21,Thursday,commercial,20.68,24.89
13.5,0,Wednesday,residential,19.35,41.86
3.79,20,Thursday,residential,27.41,8.3
3.3,10,Saturday,residential,18.95,15.67
12.22,23,Friday,residential,19.71,37.2
13.82,15,Sunday,residential,20.36,40.73
19.32,8,Monday,residential,19.72,88.17
20.74,13,Tuesday,residential,36.13,34.44
22.08,17,Thursday,commercial,32.92,68.41
24.95,19,Friday,commercial,26.51,96.0
23.86,6,Tuesday,residential,30.87,46.38
6.1,11,Friday,residential,32.02,11.43
19.94,0,Friday,commercial,21.26,67.53
3.82,11,Thursday,residential,26.68,8.59
18.36,5,Thursday,commercial,37.61,35.15
3.25,18,Friday,residential,25.52,11.46
18.4,15,Tuesday,commercial,22.85,57.98
24.17,3,Sunday,residential,18.87,76.85
5.1,23,Thursday,commercial,19.05,19.28
9.01,3,Friday,commercial,26.41,24.56
